X, Y, Z, Concentration
50.0000,50.0000,0.0000,0.00000000e+000
150.0000,50.0000,0.0000,0.00000000e+000
250.0000,50.0000,0.0000,0.00000000e+000
350.0000,50.0000,0.0000,0.00000000e+000
450.0000,50.0000,0.0000,0.00000000e+000
550.0000,50.0000,0.0000,0.00000000e+000
650.0000,50.0000,0.0000,0.00000000e+000
750.0000,50.0000,0.0000,0.00000000e+000
850.0000,50.0000,0.0000,0.00000000e+000
950.0000,50.0000,0.0000,0.00000000e+000
1050.0000,50.0000,0.0000,0.00000000e+000
1150.0000,50.0000,0.0000,0.00000000e+000
1250.0000,50.0000,0.0000,0.00000000e+000
1350.0000,50.0000,0.0000,0.00000000e+000
1450.0000,50.0000,0.0000,0.00000000e+000
1550.0000,50.0000,0.0000,0.00000000e+000
1650.0000,50.0000,0.0000,0.00000000e+000
1750.0000,50.0000,0.0000,0.00000000e+000
1850.0000,50.0000,0.0000,0.00000000e+000
1950.0000,50.0000,0.0000,0.00000000e+000
2050.0000,50.0000,0.0000,0.00000000e+000
2150.0000,50.0000,0.0000,0.00000000e+000
2250.0000,50.0000,0.0000,0.00000000e+000
2350.0000,50.0000,0.0000,0.00000000e+000
2450.0000,50.0000,0.0000,0.00000000e+000
2550.0000,50.0000,0.0000,0.00000000e+000
2650.0000,50.0000,0.0000,0.00000000e+000
2750.0000,50.0000,0.0000,0.00000000e+000
2850.0000,50.0000,0.0000,0.00000000e+000
2950.0000,50.0000,0.0000,0.00000000e+000
3050.0000,50.0000,0.0000,0.00000000e+000
3150.0000,50.0000,0.0000,0.00000000e+000
3250.0000,50.0000,0.0000,0.00000000e+000
3350.0000,50.0000,0.0000,0.00000000e+000
3450.0000,50.0000,0.0000,0.00000000e+000
3550.0000,50.0000,0.0000,0.00000000e+000
3650.0000,50.0000,0.0000,0.00000000e+000
3750.0000,50.0000,0.0000,0.00000000e+000
3850.0000,50.0000,0.0000,0.00000000e+000
3950.0000,50.0000,0.0000,1.46857480e-038
4050.0000,50.0000,0.0000,3.27676024e-035
4150.0000,50.0000,0.0000,8.86071655e-032
4250.0000,50.0000,0.0000,2.76965048e-028
4350.0000,50.0000,0.0000,9.18655247e-025
4450.0000,50.0000,0.0000,2.24327909e-021
4550.0000,50.0000,0.0000,4.50187093e-018
4650.0000,50.0000,0.0000,9.08013136e-015
4750.0000,50.0000,0.0000,8.72748835e-012
4850.0000,50.0000,0.0000,4.60583616e-009
4950.0000,50.0000,0.0000,6.12574649e-006
5050.0000,50.0000,0.0000,4.09650202e-005
5150.0000,50.0000,0.0000,1.37567535e-004
5250.0000,50.0000,0.0000,3.40023660e-004
5350.0000,50.0000,0.0000,6.98951248e-004
5450.0000,50.0000,0.0000,1.26680965e-003
5550.0000,50.0000,0.0000,2.09433422e-003
5650.0000,50.0000,0.0000,3.22929746e-003
5750.0000,50.0000,0.0000,4.71635023e-003
5850.0000,50.0000,0.0000,6.59792684e-003
5950.0000,50.0000,0.0000,8.91407486e-003
6050.0000,50.0000,0.0000,1.17120594e-002
6150.0000,50.0000,0.0000,1.50289414e-002
6250.0000,50.0000,0.0000,1.89683884e-002
6350.0000,50.0000,0.0000,2.35968679e-002
6450.0000,50.0000,0.0000,2.87422407e-002
6550.0000,50.0000,0.0000,3.75520103e-002
6650.0000,50.0000,0.0000,4.11299542e-002
6750.0000,50.0000,0.0000,4.43056449e-002
6850.0000,50.0000,0.0000,4.61614728e-001
6950.0000,50.0000,0.0000,9.08667088e-001
7050.0000,50.0000,0.0000,4.79157639e+000
50.0000,50.0000,-5.0000,0.00000000e+000
150.0000,50.0000,-5.0000,0.00000000e+000
250.0000,50.0000,-5.0000,0.00000000e+000
350.0000,50.0000,-5.0000,0.00000000e+000
450.0000,50.0000,-5.0000,0.00000000e+000
550.0000,50.0000,-5.0000,0.00000000e+000
650.0000,50.0000,-5.0000,0.00000000e+000
750.0000,50.0000,-5.0000,0.00000000e+000
850.0000,50.0000,-5.0000,0.00000000e+000
950.0000,50.0000,-5.0000,0.00000000e+000
1050.0000,50.0000,-5.0000,0.00000000e+000
1150.0000,50.0000,-5.0000,0.00000000e+000
1250.0000,50.0000,-5.0000,0.00000000e+000
1350.0000,50.0000,-5.0000,0.00000000e+000
1450.0000,50.0000,-5.0000,0.00000000e+000
1550.0000,50.0000,-5.0000,0.00000000e+000
1650.0000,50.0000,-5.0000,0.00000000e+000
1750.0000,50.0000,-5.0000,0.00000000e+000
1850.0000,50.0000,-5.0000,0.00000000e+000
1950.0000,50.0000,-5.0000,0.00000000e+000
2050.0000,50.0000,-5.0000,0.00000000e+000
2150.0000,50.0000,-5.0000,0.00000000e+000
2250.0000,50.0000,-5.0000,0.00000000e+000
2350.0000,50.0000,-5.0000,0.00000000e+000
2450.0000,50.0000,-5.0000,0.00000000e+000
2550.0000,50.0000,-5.0000,0.00000000e+000
2650.0000,50.0000,-5.0000,0.00000000e+000
2750.0000,50.0000,-5.0000,0.00000000e+000
2850.0000,50.0000,-5.0000,0.00000000e+000
2950.0000,50.0000,-5.0000,0.00000000e+000
3050.0000,50.0000,-5.0000,0.00000000e+000
3150.0000,50.0000,-5.0000,0.00000000e+000
3250.0000,50.0000,-5.0000,0.00000000e+000
3350.0000,50.0000,-5.0000,0.00000000e+000
3450.0000,50.0000,-5.0000,0.00000000e+000
3550.0000,50.0000,-5.0000,0.00000000e+000
3650.0000,50.0000,-5.0000,0.00000000e+000
3750.0000,50.0000,-5.0000,0.00000000e+000
3850.0000,50.0000,-5.0000,0.00000000e+000
3950.0000,50.0000,-5.0000,5.74127003e-038
4050.0000,50.0000,-5.0000,1.00846900e-034
4150.0000,50.0000,-5.0000,2.04365594e-031
4250.0000,50.0000,-5.0000,5.08177464e-028
4350.0000,50.0000,-5.0000,1.51714005e-024
4450.0000,50.0000,-5.0000,4.86337650e-021
4550.0000,50.0000,-5.0000,1.55395771e-017
4650.0000,50.0000,-5.0000,4.83269396e-014
4750.0000,50.0000,-5.0000,1.25255584e-010
4850.0000,50.0000,-5.0000,4.38763301e-008
4950.0000,50.0000,-5.0000,1.01383112e-005
5050.0000,50.0000,-5.0000,5.69749827e-005
5150.0000,50.0000,-5.0000,1.79271505e-004
5250.0000,50.0000,-5.0000,4.26085782e-004
5350.0000,50.0000,-5.0000,8.52088328e-004
5450.0000,50.0000,-5.0000,1.51249405e-003
5550.0000,50.0000,-5.0000,2.45966413e-003
5650.0000,50.0000,-5.0000,3.74237099e-003
5750.0000,50.0000,-5.0000,5.40587073e-003
5850.0000,50.0000,-5.0000,7.49297580e-003
5950.0000,50.0000,-5.0000,1.00439731e-002
6050.0000,50.0000,-5.0000,1.31072197e-002
6150.0000,50.0000,-5.0000,1.67184956e-002
6250.0000,50.0000,-5.0000,2.09934786e-002
6350.0000,50.0000,-5.0000,2.59643495e-002
6450.0000,50.0000,-5.0000,3.15689221e-002
6550.0000,50.0000,-5.0000,4.11246233e-002
6650.0000,50.0000,-5.0000,4.32904251e-002
6750.0000,50.0000,-5.0000,6.69207647e-002
6850.0000,50.0000,-5.0000,6.01842046e-001
6950.0000,50.0000,-5.0000,1.33192718e+000
7050.0000,50.0000,-5.0000,5.94518900e+000
7150.0000,50.0000,-5.0000,2.49704704e+001
50.0000,50.0000,-10.0000,0.00000000e+000
150.0000,50.0000,-10.0000,0.00000000e+000
250.0000,50.0000,-10.0000,0.00000000e+000
350.0000,50.0000,-10.0000,0.00000000e+000
450.0000,50.0000,-10.0000,0.00000000e+000
550.0000,50.0000,-10.0000,0.00000000e+000
650.0000,50.0000,-10.0000,0.00000000e+000
750.0000,50.0000,-10.0000,0.00000000e+000
850.0000,50.0000,-10.0000,0.00000000e+000
950.0000,50.0000,-10.0000,0.00000000e+000
1050.0000,50.0000,-10.0000,0.00000000e+000
1150.0000,50.0000,-10.0000,0.00000000e+000
1250.0000,50.0000,-10.0000,0.00000000e+000
1350.0000,50.0000,-10.0000,0.00000000e+000
1450.0000,50.0000,-10.0000,0.00000000e+000
1550.0000,50.0000,-10.0000,0.00000000e+000
1650.0000,50.0000,-10.0000,0.00000000e+000
1750.0000,50.0000,-10.0000,0.00000000e+000
1850.0000,50.0000,-10.0000,0.00000000e+000
1950.0000,50.0000,-10.0000,0.00000000e+000
2050.0000,50.0000,-10.0000,0.00000000e+000
2150.0000,50.0000,-10.0000,0.00000000e+000
2250.0000,50.0000,-10.0000,0.00000000e+000
2350.0000,50.0000,-10.0000,0.00000000e+000
2450.0000,50.0000,-10.0000,0.00000000e+000
2550.0000,50.0000,-10.0000,0.00000000e+000
2650.0000,50.0000,-10.0000,0.00000000e+000
2750.0000,50.0000,-10.0000,0.00000000e+000
2850.0000,50.0000,-10.0000,0.00000000e+000
2950.0000,50.0000,-10.0000,0.00000000e+000
3050.0000,50.0000,-10.0000,0.00000000e+000
3150.0000,50.0000,-10.0000,0.00000000e+000
3250.0000,50.0000,-10.0000,0.00000000e+000
3350.0000,50.0000,-10.0000,0.00000000e+000
3450.0000,50.0000,-10.0000,0.00000000e+000
3550.0000,50.0000,-10.0000,0.00000000e+000
3650.0000,50.0000,-10.0000,0.00000000e+000
3750.0000,50.0000,-10.0000,0.00000000e+000
3850.0000,50.0000,-10.0000,0.00000000e+000
3950.0000,50.0000,-10.0000,3.89733479e-037
4050.0000,50.0000,-10.0000,6.44251490e-034
4150.0000,50.0000,-10.0000,1.13797455e-030
4250.0000,50.0000,-10.0000,2.35745188e-027
4350.0000,50.0000,-10.0000,5.94759155e-024
4450.0000,50.0000,-10.0000,1.72544205e-020
4550.0000,50.0000,-10.0000,5.29042088e-017
4650.0000,50.0000,-10.0000,1.62628984e-013
4750.0000,50.0000,-10.0000,4.80354423e-010
4850.0000,50.0000,-10.0000,6.52362473e-007
4950.0000,50.0000,-10.0000,1.95886660e-005
5050.0000,50.0000,-10.0000,9.21866449e-005
5150.0000,50.0000,-10.0000,2.66096293e-004
5250.0000,50.0000,-10.0000,5.97981678e-004
5350.0000,50.0000,-10.0000,1.14773156e-003
5450.0000,50.0000,-10.0000,1.97312585e-003
5550.0000,50.0000,-10.0000,3.12719471e-003
5650.0000,50.0000,-10.0000,4.65864968e-003
5750.0000,50.0000,-10.0000,6.61234139e-003
5850.0000,50.0000,-10.0000,9.03063174e-003
5950.0000,50.0000,-10.0000,1.19536417e-002
6050.0000,50.0000,-10.0000,1.54315131e-002
6150.0000,50.0000,-10.0000,1.94986816e-002
6250.0000,50.0000,-10.0000,2.42957342e-002
6350.0000,50.0000,-10.0000,2.97846086e-002
6450.0000,50.0000,-10.0000,3.61954272e-002
6550.0000,50.0000,-10.0000,4.68615964e-002
6650.0000,50.0000,-10.0000,4.72099446e-002
6750.0000,50.0000,-10.0000,1.30654529e-001
6850.0000,50.0000,-10.0000,9.23170507e-001
6950.0000,50.0000,-10.0000,2.30010152e+000
7050.0000,50.0000,-10.0000,8.71299934e+000
7150.0000,50.0000,-10.0000,2.54484463e+001
7250.0000,50.0000,-10.0000,3.47495995e+001
7350.0000,50.0000,-10.0000,3.49831810e+001
50.0000,50.0000,-15.0000,0.00000000e+000
150.0000,50.0000,-15.0000,0.00000000e+000
250.0000,50.0000,-15.0000,0.00000000e+000
350.0000,50.0000,-15.0000,0.00000000e+000
450.0000,50.0000,-15.0000,0.00000000e+000
550.0000,50.0000,-15.0000,0.00000000e+000
650.0000,50.0000,-15.0000,0.00000000e+000
750.0000,50.0000,-15.0000,0.00000000e+000
850.0000,50.0000,-15.0000,0.00000000e+000
950.0000,50.0000,-15.0000,0.00000000e+000
1050.0000,50.0000,-15.0000,0.00000000e+000
1150.0000,50.0000,-15.0000,0.00000000e+000
1250.0000,50.0000,-15.0000,0.00000000e+000
1350.0000,50.0000,-15.0000,0.00000000e+000
1450.0000,50.0000,-15.0000,0.00000000e+000
1550.0000,50.0000,-15.0000,0.00000000e+000
1650.0000,50.0000,-15.0000,0.00000000e+000
1750.0000,50.0000,-15.0000,0.00000000e+000
1850.0000,50.0000,-15.0000,0.00000000e+000
1950.0000,50.0000,-15.0000,0.00000000e+000
2050.0000,50.0000,-15.0000,0.00000000e+000
2150.0000,50.0000,-15.0000,0.00000000e+000
2250.0000,50.0000,-15.0000,0.00000000e+000
2350.0000,50.0000,-15.0000,0.00000000e+000
2450.0000,50.0000,-15.0000,0.00000000e+000
2550.0000,50.0000,-15.0000,0.00000000e+000
2650.0000,50.0000,-15.0000,0.00000000e+000
2750.0000,50.0000,-15.0000,0.00000000e+000
2850.0000,50.0000,-15.0000,0.00000000e+000
2950.0000,50.0000,-15.0000,0.00000000e+000
3050.0000,50.0000,-15.0000,0.00000000e+000
3150.0000,50.0000,-15.0000,0.00000000e+000
3250.0000,50.0000,-15.0000,0.00000000e+000
3350.0000,50.0000,-15.0000,0.00000000e+000
3450.0000,50.0000,-15.0000,0.00000000e+000
3550.0000,50.0000,-15.0000,0.00000000e+000
3650.0000,50.0000,-15.0000,0.00000000e+000
3750.0000,50.0000,-15.0000,0.00000000e+000
3850.0000,50.0000,-15.0000,0.00000000e+000
3950.0000,50.0000,-15.0000,2.27059964e-036
4050.0000,50.0000,-15.0000,3.45730337e-033
4150.0000,50.0000,-15.0000,5.27240964e-030
4250.0000,50.0000,-15.0000,8.89104788e-027
4350.0000,50.0000,-15.0000,1.83862052e-023
4450.0000,50.0000,-15.0000,4.69918430e-020
4550.0000,50.0000,-15.0000,1.36224458e-016
4650.0000,50.0000,-15.0000,4.10456472e-013
4750.0000,50.0000,-15.0000,1.24809119e-009
4850.0000,50.0000,-15.0000,2.53778103e-006
4950.0000,50.0000,-15.0000,3.81670034e-005
5050.0000,50.0000,-15.0000,1.55796806e-004
5150.0000,50.0000,-15.0000,4.15124960e-004
5250.0000,50.0000,-15.0000,8.82555789e-004
5350.0000,50.0000,-15.0000,1.62360643e-003
5450.0000,50.0000,-15.0000,2.69767782e-003
5550.0000,50.0000,-15.0000,4.15702024e-003
5650.0000,50.0000,-15.0000,6.04902022e-003
5750.0000,50.0000,-15.0000,8.41699168e-003
5850.0000,50.0000,-15.0000,1.13019785e-002
5950.0000,50.0000,-15.0000,1.47436643e-002
6050.0000,50.0000,-15.0000,1.87948607e-002
6150.0000,50.0000,-15.0000,2.34891232e-002
6250.0000,50.0000,-15.0000,2.90052053e-002
6350.0000,50.0000,-15.0000,3.51945572e-002
6450.0000,50.0000,-15.0000,4.28330749e-002
6550.0000,50.0000,-15.0000,5.44537790e-002
6650.0000,50.0000,-15.0000,5.46076149e-002
6750.0000,50.0000,-15.0000,2.68734545e-001
6850.0000,50.0000,-15.0000,1.52444756e+000
6950.0000,50.0000,-15.0000,3.97182012e+000
7050.0000,50.0000,-15.0000,1.21569014e+001
7150.0000,50.0000,-15.0000,2.83884125e+001
7250.0000,50.0000,-15.0000,3.49643860e+001
7350.0000,50.0000,-15.0000,3.49692764e+001
7450.0000,50.0000,-15.0000,3.49657135e+001
50.0000,50.0000,-20.0000,0.00000000e+000
150.0000,50.0000,-20.0000,0.00000000e+000
250.0000,50.0000,-20.0000,0.00000000e+000
350.0000,50.0000,-20.0000,0.00000000e+000
450.0000,50.0000,-20.0000,0.00000000e+000
550.0000,50.0000,-20.0000,0.00000000e+000
650.0000,50.0000,-20.0000,0.00000000e+000
750.0000,50.0000,-20.0000,0.00000000e+000
850.0000,50.0000,-20.0000,0.00000000e+000
950.0000,50.0000,-20.0000,0.00000000e+000
1050.0000,50.0000,-20.0000,0.00000000e+000
1150.0000,50.0000,-20.0000,0.00000000e+000
1250.0000,50.0000,-20.0000,0.00000000e+000
1350.0000,50.0000,-20.0000,0.00000000e+000
1450.0000,50.0000,-20.0000,0.00000000e+000
1550.0000,50.0000,-20.0000,0.00000000e+000
1650.0000,50.0000,-20.0000,0.00000000e+000
1750.0000,50.0000,-20.0000,0.00000000e+000
1850.0000,50.0000,-20.0000,0.00000000e+000
1950.0000,50.0000,-20.0000,0.00000000e+000
2050.0000,50.0000,-20.0000,0.00000000e+000
2150.0000,50.0000,-20.0000,0.00000000e+000
2250.0000,50.0000,-20.0000,0.00000000e+000
2350.0000,50.0000,-20.0000,0.00000000e+000
2450.0000,50.0000,-20.0000,0.00000000e+000
2550.0000,50.0000,-20.0000,0.00000000e+000
2650.0000,50.0000,-20.0000,0.00000000e+000
2750.0000,50.0000,-20.0000,0.00000000e+000
2850.0000,50.0000,-20.0000,0.00000000e+000
2950.0000,50.0000,-20.0000,0.00000000e+000
3050.0000,50.0000,-20.0000,0.00000000e+000
3150.0000,50.0000,-20.0000,0.00000000e+000
3250.0000,50.0000,-20.0000,0.00000000e+000
3350.0000,50.0000,-20.0000,0.00000000e+000
3450.0000,50.0000,-20.0000,0.00000000e+000
3550.0000,50.0000,-20.0000,0.00000000e+000
3650.0000,50.0000,-20.0000,0.00000000e+000
3750.0000,50.0000,-20.0000,0.00000000e+000
3850.0000,50.0000,-20.0000,5.47261981e-038
3950.0000,50.0000,-20.0000,8.19414440e-035
4050.0000,50.0000,-20.0000,1.10333722e-031
4150.0000,50.0000,-20.0000,1.36782795e-028
4250.0000,50.0000,-20.0000,1.61632176e-025
4350.0000,50.0000,-20.0000,1.94552688e-022
4450.0000,50.0000,-20.0000,2.67744328e-019
4550.0000,50.0000,-20.0000,4.71252551e-016
4650.0000,50.0000,-20.0000,1.04379374e-012
4750.0000,50.0000,-20.0000,2.88329072e-009
4850.0000,50.0000,-20.0000,7.25085056e-006
4950.0000,50.0000,-20.0000,7.26795843e-005
5050.0000,50.0000,-20.0000,2.63713795e-004
5150.0000,50.0000,-20.0000,6.54642237e-004
5250.0000,50.0000,-20.0000,1.32300996e-003
5350.0000,50.0000,-20.0000,2.33919988e-003
5450.0000,50.0000,-20.0000,3.76227428e-003
5550.0000,50.0000,-20.0000,5.64172212e-003
5650.0000,50.0000,-20.0000,8.02220870e-003
5750.0000,50.0000,-20.0000,1.09442668e-002
5850.0000,50.0000,-20.0000,1.44467484e-002
5950.0000,50.0000,-20.0000,1.85688250e-002
6050.0000,50.0000,-20.0000,2.33670324e-002
6150.0000,50.0000,-20.0000,2.88750753e-002
6250.0000,50.0000,-20.0000,3.53223532e-002
6350.0000,50.0000,-20.0000,4.24079970e-002
6450.0000,50.0000,-20.0000,5.17743975e-002
6550.0000,50.0000,-20.0000,6.39408827e-002
6650.0000,50.0000,-20.0000,6.41590208e-002
6750.0000,50.0000,-20.0000,5.47974527e-001
6850.0000,50.0000,-20.0000,2.55685449e+000
6950.0000,50.0000,-20.0000,6.53462601e+000
7050.0000,50.0000,-20.0000,1.68338871e+001
7150.0000,50.0000,-20.0000,3.26647453e+001
7250.0000,50.0000,-20.0000,3.49615479e+001
7350.0000,50.0000,-20.0000,3.49135323e+001
7450.0000,50.0000,-20.0000,3.49318314e+001
7550.0000,50.0000,-20.0000,3.49488297e+001
50.0000,50.0000,-25.0000,0.00000000e+000
150.0000,50.0000,-25.0000,0.00000000e+000
250.0000,50.0000,-25.0000,0.00000000e+000
350.0000,50.0000,-25.0000,0.00000000e+000
450.0000,50.0000,-25.0000,0.00000000e+000
550.0000,50.0000,-25.0000,0.00000000e+000
650.0000,50.0000,-25.0000,0.00000000e+000
750.0000,50.0000,-25.0000,0.00000000e+000
850.0000,50.0000,-25.0000,0.00000000e+000
950.0000,50.0000,-25.0000,0.00000000e+000
1050.0000,50.0000,-25.0000,0.00000000e+000
1150.0000,50.0000,-25.0000,0.00000000e+000
1250.0000,50.0000,-25.0000,0.00000000e+000
1350.0000,50.0000,-25.0000,0.00000000e+000
1450.0000,50.0000,-25.0000,0.00000000e+000
1550.0000,50.0000,-25.0000,0.00000000e+000
1650.0000,50.0000,-25.0000,0.00000000e+000
1750.0000,50.0000,-25.0000,0.00000000e+000
1850.0000,50.0000,-25.0000,0.00000000e+000
1950.0000,50.0000,-25.0000,0.00000000e+000
2050.0000,50.0000,-25.0000,0.00000000e+000
2150.0000,50.0000,-25.0000,0.00000000e+000
2250.0000,50.0000,-25.0000,0.00000000e+000
2350.0000,50.0000,-25.0000,0.00000000e+000
2450.0000,50.0000,-25.0000,0.00000000e+000
2550.0000,50.0000,-25.0000,0.00000000e+000
2650.0000,50.0000,-25.0000,0.00000000e+000
2750.0000,50.0000,-25.0000,0.00000000e+000
2850.0000,50.0000,-25.0000,0.00000000e+000
2950.0000,50.0000,-25.0000,0.00000000e+000
3050.0000,50.0000,-25.0000,0.00000000e+000
3150.0000,50.0000,-25.0000,0.00000000e+000
3250.0000,50.0000,-25.0000,0.00000000e+000
3350.0000,50.0000,-25.0000,0.00000000e+000
3450.0000,50.0000,-25.0000,0.00000000e+000
3550.0000,50.0000,-25.0000,0.00000000e+000
3650.0000,50.0000,-25.0000,0.00000000e+000
3750.0000,50.0000,-25.0000,0.00000000e+000
3850.0000,50.0000,-25.0000,1.28409548e-036
3950.0000,50.0000,-25.0000,2.06649593e-033
4050.0000,50.0000,-25.0000,2.91917302e-030
4150.0000,50.0000,-25.0000,3.70582548e-027
4250.0000,50.0000,-25.0000,4.32045155e-024
4350.0000,50.0000,-25.0000,4.80072605e-021
4450.0000,50.0000,-25.0000,5.47363568e-018
4550.0000,50.0000,-25.0000,7.26250877e-015
4650.0000,50.0000,-25.0000,7.54551716e-012
4750.0000,50.0000,-25.0000,8.43939230e-009
4850.0000,50.0000,-25.0000,1.79641011e-005
4950.0000,50.0000,-25.0000,1.34690054e-004
5050.0000,50.0000,-25.0000,4.40879725e-004
5150.0000,50.0000,-25.0000,1.02661864e-003
5250.0000,50.0000,-25.0000,1.98090984e-003
5350.0000,50.0000,-25.0000,3.37649416e-003
5450.0000,50.0000,-25.0000,5.26891975e-003
5550.0000,50.0000,-25.0000,7.70248938e-003
5650.0000,50.0000,-25.0000,1.07177943e-002
5750.0000,50.0000,-25.0000,1.43512916e-002
5850.0000,50.0000,-25.0000,1.86388940e-002
5950.0000,50.0000,-25.0000,2.36196481e-002
6050.0000,50.0000,-25.0000,2.93552708e-002
6150.0000,50.0000,-25.0000,3.58819291e-002
6250.0000,50.0000,-25.0000,4.34909873e-002
6350.0000,50.0000,-25.0000,5.16942441e-002
6450.0000,50.0000,-25.0000,6.33792505e-002
6550.0000,50.0000,-25.0000,7.52874836e-002
6650.0000,50.0000,-25.0000,7.55941123e-002
6750.0000,50.0000,-25.0000,1.08844531e+000
6850.0000,50.0000,-25.0000,4.25353050e+000
6950.0000,50.0000,-25.0000,1.04063387e+001
7050.0000,50.0000,-25.0000,2.35006771e+001
7150.0000,50.0000,-25.0000,3.40816956e+001
7250.0000,50.0000,-25.0000,3.48838692e+001
7350.0000,50.0000,-25.0000,3.48307571e+001
7450.0000,50.0000,-25.0000,3.48594475e+001
7550.0000,50.0000,-25.0000,3.48985443e+001
7650.0000,50.0000,-25.0000,3.49287300e+001
