X, Y, Z, Concentration
50.0000,50.0000,0.0000,0.00000000e+000
150.0000,50.0000,0.0000,0.00000000e+000
250.0000,50.0000,0.0000,0.00000000e+000
350.0000,50.0000,0.0000,0.00000000e+000
450.0000,50.0000,0.0000,0.00000000e+000
550.0000,50.0000,0.0000,0.00000000e+000
650.0000,50.0000,0.0000,1.41186902e-038
750.0000,50.0000,0.0000,7.16748918e-038
850.0000,50.0000,0.0000,2.56242670e-037
950.0000,50.0000,0.0000,6.68663664e-037
1050.0000,50.0000,0.0000,1.31623835e-036
1150.0000,50.0000,0.0000,2.04274268e-036
1250.0000,50.0000,0.0000,2.67145692e-036
1350.0000,50.0000,0.0000,3.08698384e-036
1450.0000,50.0000,0.0000,3.29435915e-036
1550.0000,50.0000,0.0000,3.60004006e-036
1650.0000,50.0000,0.0000,5.58308410e-036
1750.0000,50.0000,0.0000,1.52452583e-034
1850.0000,50.0000,0.0000,1.30181068e-033
1950.0000,50.0000,0.0000,1.26715573e-032
2050.0000,50.0000,0.0000,1.27301442e-031
2150.0000,50.0000,0.0000,1.28051988e-030
2250.0000,50.0000,0.0000,1.30076511e-029
2350.0000,50.0000,0.0000,1.35076397e-028
2450.0000,50.0000,0.0000,1.44399650e-027
2550.0000,50.0000,0.0000,1.58668725e-026
2650.0000,50.0000,0.0000,1.77501617e-025
2750.0000,50.0000,0.0000,1.99664206e-024
2850.0000,50.0000,0.0000,2.23902075e-023
2950.0000,50.0000,0.0000,2.49623207e-022
3050.0000,50.0000,0.0000,2.76275336e-021
3150.0000,50.0000,0.0000,3.03219371e-020
3250.0000,50.0000,0.0000,3.29768915e-019
3350.0000,50.0000,0.0000,3.55148383e-018
3450.0000,50.0000,0.0000,3.78207953e-017
3550.0000,50.0000,0.0000,3.97055641e-016
3650.0000,50.0000,0.0000,4.09247568e-015
3750.0000,50.0000,0.0000,4.12559831e-014
3850.0000,50.0000,0.0000,4.04959649e-013
3950.0000,50.0000,0.0000,3.84836694e-012
4050.0000,50.0000,0.0000,3.51449876e-011
4150.0000,50.0000,0.0000,3.05495351e-010
4250.0000,50.0000,0.0000,2.49562682e-009
4350.0000,50.0000,0.0000,1.88220479e-008
4450.0000,50.0000,0.0000,1.27817856e-007
4550.0000,50.0000,0.0000,7.54509415e-007
4650.0000,50.0000,0.0000,3.69213603e-006
4750.0000,50.0000,0.0000,1.42437639e-005
4850.0000,50.0000,0.0000,4.34519570e-005
4950.0000,50.0000,0.0000,1.11176792e-004
5050.0000,50.0000,0.0000,2.46419775e-004
5150.0000,50.0000,0.0000,4.85770259e-004
5250.0000,50.0000,0.0000,8.71146505e-004
5350.0000,50.0000,0.0000,1.44662615e-003
5450.0000,50.0000,0.0000,2.25635199e-003
5550.0000,50.0000,0.0000,3.34369554e-003
5650.0000,50.0000,0.0000,4.75121895e-003
5750.0000,50.0000,0.0000,6.52121101e-003
5850.0000,50.0000,0.0000,8.69699568e-003
5950.0000,50.0000,0.0000,1.13246823e-002
6050.0000,50.0000,0.0000,1.44567788e-002
6150.0000,50.0000,0.0000,1.81600358e-002
6250.0000,50.0000,0.0000,2.25379057e-002
6350.0000,50.0000,0.0000,2.78193988e-002
6450.0000,50.0000,0.0000,3.47797982e-002
6550.0000,50.0000,0.0000,4.77587432e-002
6650.0000,50.0000,0.0000,9.69891921e-002
6750.0000,50.0000,0.0000,3.58141601e-001
6850.0000,50.0000,0.0000,1.15297699e+000
6950.0000,50.0000,0.0000,2.82207203e+000
7050.0000,50.0000,0.0000,5.73130369e+000
50.0000,50.0000,-5.0000,0.00000000e+000
150.0000,50.0000,-5.0000,0.00000000e+000
250.0000,50.0000,-5.0000,0.00000000e+000
350.0000,50.0000,-5.0000,0.00000000e+000
450.0000,50.0000,-5.0000,0.00000000e+000
550.0000,50.0000,-5.0000,0.00000000e+000
650.0000,50.0000,-5.0000,2.34237170e-038
750.0000,50.0000,-5.0000,1.18410628e-037
850.0000,50.0000,-5.0000,4.16631190e-037
950.0000,50.0000,-5.0000,1.06995985e-036
1050.0000,50.0000,-5.0000,2.09062538e-036
1150.0000,50.0000,-5.0000,3.26122914e-036
1250.0000,50.0000,-5.0000,4.36901239e-036
1350.0000,50.0000,-5.0000,5.27155980e-036
1450.0000,50.0000,-5.0000,5.95858474e-036
1550.0000,50.0000,-5.0000,6.94076609e-036
1650.0000,50.0000,-5.0000,1.26404013e-035
1750.0000,50.0000,-5.0000,2.18664793e-034
1850.0000,50.0000,-5.0000,1.83994290e-033
1950.0000,50.0000,-5.0000,1.72307033e-032
2050.0000,50.0000,-5.0000,1.66295152e-031
2150.0000,50.0000,-5.0000,1.61122246e-030
2250.0000,50.0000,-5.0000,1.58123392e-029
2350.0000,50.0000,-5.0000,1.59172236e-028
2450.0000,50.0000,-5.0000,1.65720609e-027
2550.0000,50.0000,-5.0000,1.78487283e-026
2650.0000,50.0000,-5.0000,1.97045979e-025
2750.0000,50.0000,-5.0000,2.19792208e-024
2850.0000,50.0000,-5.0000,2.44952355e-023
2950.0000,50.0000,-5.0000,2.71822586e-022
3050.0000,50.0000,-5.0000,2.99801637e-021
3150.0000,50.0000,-5.0000,3.28189950e-020
3250.0000,50.0000,-5.0000,3.56258961e-019
3350.0000,50.0000,-5.0000,3.83278066e-018
3450.0000,50.0000,-5.0000,4.08228422e-017
3550.0000,50.0000,-5.0000,4.29230478e-016
3650.0000,50.0000,-5.0000,4.43580651e-015
3750.0000,50.0000,-5.0000,4.48873083e-014
3850.0000,50.0000,-5.0000,4.42860212e-013
3950.0000,50.0000,-5.0000,4.23640203e-012
4050.0000,50.0000,-5.0000,3.90100625e-011
4150.0000,50.0000,-5.0000,3.42553652e-010
4250.0000,50.0000,-5.0000,2.83318102e-009
4350.0000,50.0000,-5.0000,2.16860645e-008
4450.0000,50.0000,-5.0000,1.49797586e-007
4550.0000,50.0000,-5.0000,9.00478710e-007
4650.0000,50.0000,-5.0000,4.47662978e-006
4750.0000,50.0000,-5.0000,1.73703920e-005
4850.0000,50.0000,-5.0000,5.27326592e-005
4950.0000,50.0000,-5.0000,1.33933281e-004
5050.0000,50.0000,-5.0000,2.94139201e-004
5150.0000,50.0000,-5.0000,5.74082136e-004
5250.0000,50.0000,-5.0000,1.01942290e-003
5350.0000,50.0000,-5.0000,1.67706457e-003
5450.0000,50.0000,-5.0000,2.59317621e-003
5550.0000,50.0000,-5.0000,3.81263578e-003
5650.0000,50.0000,-5.0000,5.37919626e-003
5750.0000,50.0000,-5.0000,7.33615924e-003
5850.0000,50.0000,-5.0000,9.72786080e-003
5950.0000,50.0000,-5.0000,1.26013458e-002
6050.0000,50.0000,-5.0000,1.60100572e-002
6150.0000,50.0000,-5.0000,2.00218074e-002
6250.0000,50.0000,-5.0000,2.47425176e-002
6350.0000,50.0000,-5.0000,3.04144435e-002
6450.0000,50.0000,-5.0000,3.78654376e-002
6550.0000,50.0000,-5.0000,5.17778248e-002
6650.0000,50.0000,-5.0000,1.05883971e-001
6750.0000,50.0000,-5.0000,4.11262482e-001
6850.0000,50.0000,-5.0000,1.32087290e+000
6950.0000,50.0000,-5.0000,3.15220690e+000
7050.0000,50.0000,-5.0000,6.52924156e+000
7150.0000,50.0000,-5.0000,2.03972340e+001
50.0000,50.0000,-10.0000,0.00000000e+000
150.0000,50.0000,-10.0000,0.00000000e+000
250.0000,50.0000,-10.0000,0.00000000e+000
350.0000,50.0000,-10.0000,0.00000000e+000
450.0000,50.0000,-10.0000,0.00000000e+000
550.0000,50.0000,-10.0000,0.00000000e+000
650.0000,50.0000,-10.0000,3.46634577e-038
750.0000,50.0000,-10.0000,1.76025990e-037
850.0000,50.0000,-10.0000,6.21886169e-037
950.0000,50.0000,-10.0000,1.61093630e-036
1050.0000,50.0000,-10.0000,3.19200741e-036
1150.0000,50.0000,-10.0000,5.07409914e-036
1250.0000,50.0000,-10.0000,7.03843959e-036
1350.0000,50.0000,-10.0000,8.94863011e-036
1450.0000,50.0000,-10.0000,1.07923346e-035
1550.0000,50.0000,-10.0000,1.33996857e-035
1650.0000,50.0000,-10.0000,2.49680022e-035
1750.0000,50.0000,-10.0000,3.08444598e-034
1850.0000,50.0000,-10.0000,2.53923365e-033
1950.0000,50.0000,-10.0000,2.28591642e-032
2050.0000,50.0000,-10.0000,2.13500760e-031
2150.0000,50.0000,-10.0000,2.00533431e-030
2250.0000,50.0000,-10.0000,1.90737256e-029
2350.0000,50.0000,-10.0000,1.86057712e-028
2450.0000,50.0000,-10.0000,1.88103729e-027
2550.0000,50.0000,-10.0000,1.97931564e-026
2650.0000,50.0000,-10.0000,2.15383359e-025
2750.0000,50.0000,-10.0000,2.38508052e-024
2850.0000,50.0000,-10.0000,2.64603022e-023
2950.0000,50.0000,-10.0000,2.92820321e-022
3050.0000,50.0000,-10.0000,3.22523456e-021
3150.0000,50.0000,-10.0000,3.52938903e-020
3250.0000,50.0000,-10.0000,3.83265090e-019
3350.0000,50.0000,-10.0000,4.12854322e-018
3450.0000,50.0000,-10.0000,4.41016671e-017
3550.0000,50.0000,-10.0000,4.66072997e-016
3650.0000,50.0000,-10.0000,4.84901121e-015
3750.0000,50.0000,-10.0000,4.94839629e-014
3850.0000,50.0000,-10.0000,4.93311826e-013
3950.0000,50.0000,-10.0000,4.77912631e-012
4050.0000,50.0000,-10.0000,4.46809117e-011
4150.0000,50.0000,-10.0000,3.99465905e-010
4250.0000,50.0000,-10.0000,3.37482198e-009
4350.0000,50.0000,-10.0000,2.64797997e-008
4450.0000,50.0000,-10.0000,1.88103471e-007
4550.0000,50.0000,-10.0000,1.16459546e-006
4650.0000,50.0000,-10.0000,5.93987806e-006
4750.0000,50.0000,-10.0000,2.32633993e-005
4850.0000,50.0000,-10.0000,7.00747696e-005
4950.0000,50.0000,-10.0000,1.75998211e-004
5050.0000,50.0000,-10.0000,3.81085905e-004
5150.0000,50.0000,-10.0000,7.32369837e-004
5250.0000,50.0000,-10.0000,1.28074246e-003
5350.0000,50.0000,-10.0000,2.07639323e-003
5450.0000,50.0000,-10.0000,3.16738850e-003
5550.0000,50.0000,-10.0000,4.59978357e-003
5650.0000,50.0000,-10.0000,6.41819043e-003
5750.0000,50.0000,-10.0000,8.66670907e-003
5850.0000,50.0000,-10.0000,1.13907978e-002
5950.0000,50.0000,-10.0000,1.46388253e-002
6050.0000,50.0000,-10.0000,1.84661876e-002
6150.0000,50.0000,-10.0000,2.29439791e-002
6250.0000,50.0000,-10.0000,2.81860176e-002
6350.0000,50.0000,-10.0000,3.44671495e-002
6450.0000,50.0000,-10.0000,4.27222215e-002
6550.0000,50.0000,-10.0000,5.81346527e-002
6650.0000,50.0000,-10.0000,1.20903485e-001
6750.0000,50.0000,-10.0000,5.16068816e-001
6850.0000,50.0000,-10.0000,1.66146803e+000
6950.0000,50.0000,-10.0000,3.87886763e+000
7050.0000,50.0000,-10.0000,8.32017326e+000
7150.0000,50.0000,-10.0000,2.17740936e+001
7250.0000,50.0000,-10.0000,3.43561249e+001
7350.0000,50.0000,-10.0000,3.49291763e+001
50.0000,50.0000,-15.0000,0.00000000e+000
150.0000,50.0000,-15.0000,0.00000000e+000
250.0000,50.0000,-15.0000,0.00000000e+000
350.0000,50.0000,-15.0000,0.00000000e+000
450.0000,50.0000,-15.0000,0.00000000e+000
550.0000,50.0000,-15.0000,0.00000000e+000
650.0000,50.0000,-15.0000,4.67373760e-038
750.0000,50.0000,-15.0000,2.41237992e-037
850.0000,50.0000,-15.0000,8.70435487e-037
950.0000,50.0000,-15.0000,2.31237098e-036
1050.0000,50.0000,-15.0000,4.69606693e-036
1150.0000,50.0000,-15.0000,7.63024619e-036
1250.0000,50.0000,-15.0000,1.09931860e-035
1350.0000,50.0000,-15.0000,1.47932735e-035
1450.0000,50.0000,-15.0000,1.91472834e-035
1550.0000,50.0000,-15.0000,2.53735162e-035
1650.0000,50.0000,-15.0000,4.66254152e-035
1750.0000,50.0000,-15.0000,4.32056714e-034
1850.0000,50.0000,-15.0000,3.47970719e-033
1950.0000,50.0000,-15.0000,2.99025162e-032
2050.0000,50.0000,-15.0000,2.71443792e-031
2150.0000,50.0000,-15.0000,2.48467213e-030
2250.0000,50.0000,-15.0000,2.29806294e-029
2350.0000,50.0000,-15.0000,2.17281876e-028
2450.0000,50.0000,-15.0000,2.12637303e-027
2550.0000,50.0000,-15.0000,2.17528348e-026
2650.0000,50.0000,-15.0000,2.32593690e-025
2750.0000,50.0000,-15.0000,2.55781581e-024
2850.0000,50.0000,-15.0000,2.82748133e-023
2950.0000,50.0000,-15.0000,3.12450286e-022
3050.0000,50.0000,-15.0000,3.44245348e-021
3150.0000,50.0000,-15.0000,3.77272941e-020
3250.0000,50.0000,-15.0000,4.10582781e-019
3350.0000,50.0000,-15.0000,4.43575645e-018
3450.0000,50.0000,-15.0000,4.76130157e-017
3550.0000,50.0000,-15.0000,5.07147478e-016
3650.0000,50.0000,-15.0000,5.32849708e-015
3750.0000,50.0000,-15.0000,5.50262757e-014
3850.0000,50.0000,-15.0000,5.56403231e-013
3950.0000,50.0000,-15.0000,5.48194476e-012
4050.0000,50.0000,-15.0000,5.22748372e-011
4150.0000,50.0000,-15.0000,4.78158846e-010
4250.0000,50.0000,-15.0000,4.14794865e-009
4350.0000,50.0000,-15.0000,3.35480088e-008
4450.0000,50.0000,-15.0000,2.46516009e-007
4550.0000,50.0000,-15.0000,1.58140415e-006
4650.0000,50.0000,-15.0000,8.32113710e-006
4750.0000,50.0000,-15.0000,3.29553623e-005
4850.0000,50.0000,-15.0000,9.83254140e-005
4950.0000,50.0000,-15.0000,2.43834191e-004
5050.0000,50.0000,-15.0000,5.19436842e-004
5150.0000,50.0000,-15.0000,9.80557874e-004
5250.0000,50.0000,-15.0000,1.68459292e-003
5350.0000,50.0000,-15.0000,2.68495409e-003
5450.0000,50.0000,-15.0000,4.03105700e-003
5550.0000,50.0000,-15.0000,5.76955546e-003
5650.0000,50.0000,-15.0000,7.94544816e-003
5750.0000,50.0000,-15.0000,1.06033450e-002
5850.0000,50.0000,-15.0000,1.37899835e-002
5950.0000,50.0000,-15.0000,1.75554473e-002
6050.0000,50.0000,-15.0000,2.19581798e-002
6150.0000,50.0000,-15.0000,2.70748977e-002
6250.0000,50.0000,-15.0000,3.30330469e-002
6350.0000,50.0000,-15.0000,4.01637293e-002
6450.0000,50.0000,-15.0000,4.94763441e-002
6550.0000,50.0000,-15.0000,6.69224933e-002
6650.0000,50.0000,-15.0000,1.42350465e-001
6750.0000,50.0000,-15.0000,6.87709153e-001
6850.0000,50.0000,-15.0000,2.22084594e+000
6950.0000,50.0000,-15.0000,5.06743908e+000
7050.0000,50.0000,-15.0000,1.07484255e+001
7150.0000,50.0000,-15.0000,2.44774551e+001
7250.0000,50.0000,-15.0000,3.43683395e+001
7350.0000,50.0000,-15.0000,3.48708305e+001
7450.0000,50.0000,-15.0000,3.49153748e+001
50.0000,50.0000,-20.0000,0.00000000e+000
150.0000,50.0000,-20.0000,0.00000000e+000
250.0000,50.0000,-20.0000,0.00000000e+000
350.0000,50.0000,-20.0000,0.00000000e+000
450.0000,50.0000,-20.0000,0.00000000e+000
550.0000,50.0000,-20.0000,0.00000000e+000
650.0000,50.0000,-20.0000,5.79233895e-038
750.0000,50.0000,-20.0000,3.07114760e-037
850.0000,50.0000,-20.0000,1.14826001e-036
950.0000,50.0000,-20.0000,3.16787871e-036
1050.0000,50.0000,-20.0000,6.62460230e-036
1150.0000,50.0000,-20.0000,1.09605844e-035
1250.0000,50.0000,-20.0000,1.63865448e-035
1350.0000,50.0000,-20.0000,2.33891994e-035
1450.0000,50.0000,-20.0000,3.26678432e-035
1550.0000,50.0000,-20.0000,4.65685834e-035
1650.0000,50.0000,-20.0000,8.47081892e-035
1750.0000,50.0000,-20.0000,6.04814986e-034
1850.0000,50.0000,-20.0000,4.80404227e-033
1950.0000,50.0000,-20.0000,3.88074267e-032
2050.0000,50.0000,-20.0000,3.43116433e-031
2150.0000,50.0000,-20.0000,3.07563489e-030
2250.0000,50.0000,-20.0000,2.77710371e-029
2350.0000,50.0000,-20.0000,2.54927186e-028
2450.0000,50.0000,-20.0000,2.40917157e-027
2550.0000,50.0000,-20.0000,2.38128403e-026
2650.0000,50.0000,-20.0000,2.48805078e-025
2750.0000,50.0000,-20.0000,2.71589171e-024
2850.0000,50.0000,-20.0000,2.99246149e-023
2950.0000,50.0000,-20.0000,3.30461482e-022
3050.0000,50.0000,-20.0000,3.64644075e-021
3150.0000,50.0000,-20.0000,4.00853631e-020
3250.0000,50.0000,-20.0000,4.37862887e-019
3350.0000,50.0000,-20.0000,4.74939480e-018
3450.0000,50.0000,-20.0000,5.12770122e-017
3550.0000,50.0000,-20.0000,5.51593467e-016
3650.0000,50.0000,-20.0000,5.86587977e-015
3750.0000,50.0000,-20.0000,6.14433431e-014
3850.0000,50.0000,-20.0000,6.31718202e-013
3950.0000,50.0000,-20.0000,6.34605476e-012
4050.0000,50.0000,-20.0000,6.18871829e-011
4150.0000,50.0000,-20.0000,5.80640369e-010
4250.0000,50.0000,-20.0000,5.18494181e-009
4350.0000,50.0000,-20.0000,4.33349676e-008
4450.0000,50.0000,-20.0000,3.30266687e-007
4550.0000,50.0000,-20.0000,2.20195398e-006
4650.0000,50.0000,-20.0000,1.19959659e-005
4750.0000,50.0000,-20.0000,4.80919589e-005
4850.0000,50.0000,-20.0000,1.41913260e-004
4950.0000,50.0000,-20.0000,3.47341702e-004
5050.0000,50.0000,-20.0000,7.27413455e-004
5150.0000,50.0000,-20.0000,1.34770654e-003
5250.0000,50.0000,-20.0000,2.27295444e-003
5350.0000,50.0000,-20.0000,3.55882500e-003
5450.0000,50.0000,-20.0000,5.25497273e-003
5550.0000,50.0000,-20.0000,7.40780868e-003
5650.0000,50.0000,-20.0000,1.00621302e-002
5750.0000,50.0000,-20.0000,1.32627385e-002
5850.0000,50.0000,-20.0000,1.70579664e-002
5950.0000,50.0000,-20.0000,2.15000138e-002
6050.0000,50.0000,-20.0000,2.66516544e-002
6150.0000,50.0000,-20.0000,3.25978026e-002
6250.0000,50.0000,-20.0000,3.94857973e-002
6350.0000,50.0000,-20.0000,4.77081351e-002
6450.0000,50.0000,-20.0000,5.83172366e-002
6550.0000,50.0000,-20.0000,7.83181936e-002
6650.0000,50.0000,-20.0000,1.70542032e-001
6750.0000,50.0000,-20.0000,9.51154232e-001
6850.0000,50.0000,-20.0000,3.06925941e+000
6950.0000,50.0000,-20.0000,6.81397295e+000
7050.0000,50.0000,-20.0000,1.41251783e+001
7150.0000,50.0000,-20.0000,2.83338566e+001
7250.0000,50.0000,-20.0000,3.44023476e+001
7350.0000,50.0000,-20.0000,3.48031387e+001
7450.0000,50.0000,-20.0000,3.48340263e+001
7550.0000,50.0000,-20.0000,3.48539963e+001
50.0000,50.0000,-25.0000,0.00000000e+000
150.0000,50.0000,-25.0000,0.00000000e+000
250.0000,50.0000,-25.0000,0.00000000e+000
350.0000,50.0000,-25.0000,0.00000000e+000
450.0000,50.0000,-25.0000,0.00000000e+000
550.0000,50.0000,-25.0000,0.00000000e+000
650.0000,50.0000,-25.0000,6.61385746e-038
750.0000,50.0000,-25.0000,3.62546607e-037
850.0000,50.0000,-25.0000,1.42102677e-036
950.0000,50.0000,-25.0000,4.11691857e-036
1050.0000,50.0000,-25.0000,8.87890903e-036
1150.0000,50.0000,-25.0000,1.48283490e-035
1250.0000,50.0000,-25.0000,2.29376973e-035
1350.0000,50.0000,-25.0000,3.47518288e-035
1450.0000,50.0000,-25.0000,5.26446810e-035
1550.0000,50.0000,-25.0000,8.17536462e-035
1650.0000,50.0000,-25.0000,1.50895570e-034
1750.0000,50.0000,-25.0000,8.49307066e-034
1850.0000,50.0000,-25.0000,6.78217629e-033
1950.0000,50.0000,-25.0000,5.01396066e-032
2050.0000,50.0000,-25.0000,4.31913253e-031
2150.0000,50.0000,-25.0000,3.80911666e-030
2250.0000,50.0000,-25.0000,3.37348748e-029
2350.0000,50.0000,-25.0000,3.01699646e-028
2450.0000,50.0000,-25.0000,2.75218490e-027
2550.0000,50.0000,-25.0000,2.61088616e-026
2650.0000,50.0000,-25.0000,2.64211581e-025
2750.0000,50.0000,-25.0000,2.85936992e-024
2850.0000,50.0000,-25.0000,3.13940513e-023
2950.0000,50.0000,-25.0000,3.46527259e-022
3050.0000,50.0000,-25.0000,3.83261535e-021
3150.0000,50.0000,-25.0000,4.23186345e-020
3250.0000,50.0000,-25.0000,4.64634898e-019
3350.0000,50.0000,-25.0000,5.06299924e-018
3450.0000,50.0000,-25.0000,5.49768753e-017
3550.0000,50.0000,-25.0000,5.98097693e-016
3650.0000,50.0000,-25.0000,6.44747673e-015
3750.0000,50.0000,-25.0000,6.86046611e-014
3850.0000,50.0000,-25.0000,7.18203763e-013
3950.0000,50.0000,-25.0000,7.36656829e-012
4050.0000,50.0000,-25.0000,7.35697336e-011
4150.0000,50.0000,-25.0000,7.08766490e-010
4250.0000,50.0000,-25.0000,6.52116050e-009
4350.0000,50.0000,-25.0000,5.63766527e-008
4450.0000,50.0000,-25.0000,4.46187471e-007
4550.0000,50.0000,-25.0000,3.09807592e-006
4650.0000,50.0000,-25.0000,1.75330897e-005
4750.0000,50.0000,-25.0000,7.12111214e-005
4850.0000,50.0000,-25.0000,2.07474906e-004
4950.0000,50.0000,-25.0000,5.01148053e-004
5050.0000,50.0000,-25.0000,1.03127200e-003
5150.0000,50.0000,-25.0000,1.87460124e-003
5250.0000,50.0000,-25.0000,3.10336519e-003
5350.0000,50.0000,-25.0000,4.77310130e-003
5450.0000,50.0000,-25.0000,6.93197595e-003
5550.0000,50.0000,-25.0000,9.62512475e-003
5650.0000,50.0000,-25.0000,1.28965145e-002
5750.0000,50.0000,-25.0000,1.67908501e-002
5850.0000,50.0000,-25.0000,2.13587005e-002
5950.0000,50.0000,-25.0000,2.66548004e-002
6050.0000,50.0000,-25.0000,3.27478796e-002
6150.0000,50.0000,-25.0000,3.97340804e-002
6250.0000,50.0000,-25.0000,4.77884710e-002
6350.0000,50.0000,-25.0000,5.73228300e-002
6450.0000,50.0000,-25.0000,6.95120394e-002
6550.0000,50.0000,-25.0000,9.25677344e-002
6650.0000,50.0000,-25.0000,2.05722883e-001
6750.0000,50.0000,-25.0000,1.34676576e+000
6850.0000,50.0000,-25.0000,4.32287931e+000
6950.0000,50.0000,-25.0000,9.33500290e+000
7050.0000,50.0000,-25.0000,1.92474613e+001
7150.0000,50.0000,-25.0000,3.12298489e+001
7250.0000,50.0000,-25.0000,3.44000397e+001
7350.0000,50.0000,-25.0000,3.47051620e+001
7450.0000,50.0000,-25.0000,3.47202797e+001
7550.0000,50.0000,-25.0000,3.47154884e+001
7650.0000,50.0000,-25.0000,3.47561607e+001
