X, Y, Z, Concentration
50.0000,50.0000,0.0000,0.00000000e+000
150.0000,50.0000,0.0000,0.00000000e+000
250.0000,50.0000,0.0000,0.00000000e+000
350.0000,50.0000,0.0000,0.00000000e+000
450.0000,50.0000,0.0000,0.00000000e+000
550.0000,50.0000,0.0000,0.00000000e+000
650.0000,50.0000,0.0000,0.00000000e+000
750.0000,50.0000,0.0000,0.00000000e+000
850.0000,50.0000,0.0000,0.00000000e+000
950.0000,50.0000,0.0000,0.00000000e+000
1050.0000,50.0000,0.0000,0.00000000e+000
1150.0000,50.0000,0.0000,0.00000000e+000
1250.0000,50.0000,0.0000,0.00000000e+000
1350.0000,50.0000,0.0000,0.00000000e+000
1450.0000,50.0000,0.0000,0.00000000e+000
1550.0000,50.0000,0.0000,0.00000000e+000
1650.0000,50.0000,0.0000,0.00000000e+000
1750.0000,50.0000,0.0000,0.00000000e+000
1850.0000,50.0000,0.0000,0.00000000e+000
1950.0000,50.0000,0.0000,0.00000000e+000
2050.0000,50.0000,0.0000,0.00000000e+000
2150.0000,50.0000,0.0000,0.00000000e+000
2250.0000,50.0000,0.0000,0.00000000e+000
2350.0000,50.0000,0.0000,0.00000000e+000
2450.0000,50.0000,0.0000,0.00000000e+000
2550.0000,50.0000,0.0000,0.00000000e+000
2650.0000,50.0000,0.0000,0.00000000e+000
2750.0000,50.0000,0.0000,0.00000000e+000
2850.0000,50.0000,0.0000,0.00000000e+000
2950.0000,50.0000,0.0000,0.00000000e+000
3050.0000,50.0000,0.0000,0.00000000e+000
3150.0000,50.0000,0.0000,0.00000000e+000
3250.0000,50.0000,0.0000,0.00000000e+000
3350.0000,50.0000,0.0000,0.00000000e+000
3450.0000,50.0000,0.0000,0.00000000e+000
3550.0000,50.0000,0.0000,0.00000000e+000
3650.0000,50.0000,0.0000,0.00000000e+000
3750.0000,50.0000,0.0000,0.00000000e+000
3850.0000,50.0000,0.0000,2.35642978e-037
3950.0000,50.0000,0.0000,2.28777672e-034
4050.0000,50.0000,0.0000,2.11602313e-031
4150.0000,50.0000,0.0000,1.86769729e-028
4250.0000,50.0000,0.0000,1.57584728e-025
4350.0000,50.0000,0.0000,1.27469737e-022
4450.0000,50.0000,0.0000,9.96824952e-020
4550.0000,50.0000,0.0000,7.75065786e-017
4650.0000,50.0000,0.0000,6.52117317e-014
4750.0000,50.0000,0.0000,5.32675536e-011
4850.0000,50.0000,0.0000,1.51606141e-008
4950.0000,50.0000,0.0000,6.79570849e-006
5050.0000,50.0000,0.0000,4.28089661e-005
5150.0000,50.0000,0.0000,1.41340177e-004
5250.0000,50.0000,0.0000,3.46549292e-004
5350.0000,50.0000,0.0000,7.09110056e-004
5450.0000,50.0000,0.0000,1.28155760e-003
5550.0000,50.0000,0.0000,2.11470947e-003
5650.0000,50.0000,0.0000,3.25638987e-003
5750.0000,50.0000,0.0000,4.75126691e-003
5850.0000,50.0000,0.0000,6.64173299e-003
5950.0000,50.0000,0.0000,8.96800309e-003
6050.0000,50.0000,0.0000,1.17772212e-002
6150.0000,50.0000,0.0000,1.51073784e-002
6250.0000,50.0000,0.0000,1.90628823e-002
6350.0000,50.0000,0.0000,2.36988906e-002
6450.0000,50.0000,0.0000,2.89143082e-002
6550.0000,50.0000,0.0000,3.76273729e-002
6650.0000,50.0000,0.0000,4.10339162e-002
6750.0000,50.0000,0.0000,4.59503159e-002
6850.0000,50.0000,0.0000,4.57536221e-001
6950.0000,50.0000,0.0000,9.40148890e-001
7050.0000,50.0000,0.0000,4.79135036e+000
50.0000,50.0000,-5.0000,0.00000000e+000
150.0000,50.0000,-5.0000,0.00000000e+000
250.0000,50.0000,-5.0000,0.00000000e+000
350.0000,50.0000,-5.0000,0.00000000e+000
450.0000,50.0000,-5.0000,0.00000000e+000
550.0000,50.0000,-5.0000,0.00000000e+000
650.0000,50.0000,-5.0000,0.00000000e+000
750.0000,50.0000,-5.0000,0.00000000e+000
850.0000,50.0000,-5.0000,0.00000000e+000
950.0000,50.0000,-5.0000,0.00000000e+000
1050.0000,50.0000,-5.0000,0.00000000e+000
1150.0000,50.0000,-5.0000,0.00000000e+000
1250.0000,50.0000,-5.0000,0.00000000e+000
1350.0000,50.0000,-5.0000,0.00000000e+000
1450.0000,50.0000,-5.0000,0.00000000e+000
1550.0000,50.0000,-5.0000,0.00000000e+000
1650.0000,50.0000,-5.0000,0.00000000e+000
1750.0000,50.0000,-5.0000,0.00000000e+000
1850.0000,50.0000,-5.0000,0.00000000e+000
1950.0000,50.0000,-5.0000,0.00000000e+000
2050.0000,50.0000,-5.0000,0.00000000e+000
2150.0000,50.0000,-5.0000,0.00000000e+000
2250.0000,50.0000,-5.0000,0.00000000e+000
2350.0000,50.0000,-5.0000,0.00000000e+000
2450.0000,50.0000,-5.0000,0.00000000e+000
2550.0000,50.0000,-5.0000,0.00000000e+000
2650.0000,50.0000,-5.0000,0.00000000e+000
2750.0000,50.0000,-5.0000,0.00000000e+000
2850.0000,50.0000,-5.0000,0.00000000e+000
2950.0000,50.0000,-5.0000,0.00000000e+000
3050.0000,50.0000,-5.0000,0.00000000e+000
3150.0000,50.0000,-5.0000,0.00000000e+000
3250.0000,50.0000,-5.0000,0.00000000e+000
3350.0000,50.0000,-5.0000,0.00000000e+000
3450.0000,50.0000,-5.0000,0.00000000e+000
3550.0000,50.0000,-5.0000,0.00000000e+000
3650.0000,50.0000,-5.0000,0.00000000e+000
3750.0000,50.0000,-5.0000,0.00000000e+000
3850.0000,50.0000,-5.0000,7.20612466e-037
3950.0000,50.0000,-5.0000,6.91207989e-034
4050.0000,50.0000,-5.0000,6.34383221e-031
4150.0000,50.0000,-5.0000,5.58912285e-028
4250.0000,50.0000,-5.0000,4.74468280e-025
4350.0000,50.0000,-5.0000,3.90540169e-022
4450.0000,50.0000,-5.0000,3.16767782e-019
4550.0000,50.0000,-5.0000,2.65810374e-016
4650.0000,50.0000,-5.0000,2.61055283e-013
4750.0000,50.0000,-5.0000,3.11145748e-010
4850.0000,50.0000,-5.0000,1.45812621e-007
4950.0000,50.0000,-5.0000,1.10025640e-005
5050.0000,50.0000,-5.0000,5.92654796e-005
5150.0000,50.0000,-5.0000,1.83792741e-004
5250.0000,50.0000,-5.0000,4.33708919e-004
5350.0000,50.0000,-5.0000,8.63742840e-004
5450.0000,50.0000,-5.0000,1.52919372e-003
5550.0000,50.0000,-5.0000,2.48251390e-003
5650.0000,50.0000,-5.0000,3.77253187e-003
5750.0000,50.0000,-5.0000,5.44451177e-003
5850.0000,50.0000,-5.0000,7.54120247e-003
5950.0000,50.0000,-5.0000,1.01030506e-002
6050.0000,50.0000,-5.0000,1.31782247e-002
6150.0000,50.0000,-5.0000,1.68036316e-002
6250.0000,50.0000,-5.0000,2.10950729e-002
6350.0000,50.0000,-5.0000,2.60748696e-002
6450.0000,50.0000,-5.0000,3.17538790e-002
6550.0000,50.0000,-5.0000,4.11738940e-002
6650.0000,50.0000,-5.0000,4.32621017e-002
6750.0000,50.0000,-5.0000,6.93920851e-002
6850.0000,50.0000,-5.0000,5.97530603e-001
6950.0000,50.0000,-5.0000,1.35752046e+000
7050.0000,50.0000,-5.0000,5.96875858e+000
7150.0000,50.0000,-5.0000,2.49654179e+001
50.0000,50.0000,-10.0000,0.00000000e+000
150.0000,50.0000,-10.0000,0.00000000e+000
250.0000,50.0000,-10.0000,0.00000000e+000
350.0000,50.0000,-10.0000,0.00000000e+000
450.0000,50.0000,-10.0000,0.00000000e+000
550.0000,50.0000,-10.0000,0.00000000e+000
650.0000,50.0000,-10.0000,0.00000000e+000
750.0000,50.0000,-10.0000,0.00000000e+000
850.0000,50.0000,-10.0000,0.00000000e+000
950.0000,50.0000,-10.0000,0.00000000e+000
1050.0000,50.0000,-10.0000,0.00000000e+000
1150.0000,50.0000,-10.0000,0.00000000e+000
1250.0000,50.0000,-10.0000,0.00000000e+000
1350.0000,50.0000,-10.0000,0.00000000e+000
1450.0000,50.0000,-10.0000,0.00000000e+000
1550.0000,50.0000,-10.0000,0.00000000e+000
1650.0000,50.0000,-10.0000,0.00000000e+000
1750.0000,50.0000,-10.0000,0.00000000e+000
1850.0000,50.0000,-10.0000,0.00000000e+000
1950.0000,50.0000,-10.0000,0.00000000e+000
2050.0000,50.0000,-10.0000,0.00000000e+000
2150.0000,50.0000,-10.0000,0.00000000e+000
2250.0000,50.0000,-10.0000,0.00000000e+000
2350.0000,50.0000,-10.0000,0.00000000e+000
2450.0000,50.0000,-10.0000,0.00000000e+000
2550.0000,50.0000,-10.0000,0.00000000e+000
2650.0000,50.0000,-10.0000,0.00000000e+000
2750.0000,50.0000,-10.0000,0.00000000e+000
2850.0000,50.0000,-10.0000,0.00000000e+000
2950.0000,50.0000,-10.0000,0.00000000e+000
3050.0000,50.0000,-10.0000,0.00000000e+000
3150.0000,50.0000,-10.0000,0.00000000e+000
3250.0000,50.0000,-10.0000,0.00000000e+000
3350.0000,50.0000,-10.0000,0.00000000e+000
3450.0000,50.0000,-10.0000,0.00000000e+000
3550.0000,50.0000,-10.0000,0.00000000e+000
3650.0000,50.0000,-10.0000,0.00000000e+000
3750.0000,50.0000,-10.0000,0.00000000e+000
3850.0000,50.0000,-10.0000,2.76143669e-036
3950.0000,50.0000,-10.0000,2.54833418e-033
4050.0000,50.0000,-10.0000,2.24280504e-030
4150.0000,50.0000,-10.0000,1.89077595e-027
4250.0000,50.0000,-10.0000,1.53556104e-024
4350.0000,50.0000,-10.0000,1.21279087e-021
4450.0000,50.0000,-10.0000,9.52334177e-019
4550.0000,50.0000,-10.0000,7.90719444e-016
4650.0000,50.0000,-10.0000,8.01749834e-013
4750.0000,50.0000,-10.0000,1.09523657e-009
4850.0000,50.0000,-10.0000,9.20329853e-007
4950.0000,50.0000,-10.0000,2.08951787e-005
5050.0000,50.0000,-10.0000,9.53333656e-005
5150.0000,50.0000,-10.0000,2.71956640e-004
5250.0000,50.0000,-10.0000,6.07466616e-004
5350.0000,50.0000,-10.0000,1.16181641e-003
5450.0000,50.0000,-10.0000,1.99289224e-003
5550.0000,50.0000,-10.0000,3.15383566e-003
5650.0000,50.0000,-10.0000,4.69342060e-003
5750.0000,50.0000,-10.0000,6.65649772e-003
5850.0000,50.0000,-10.0000,9.08533949e-003
5950.0000,50.0000,-10.0000,1.20202294e-002
6050.0000,50.0000,-10.0000,1.55110173e-002
6150.0000,50.0000,-10.0000,1.95936356e-002
6250.0000,50.0000,-10.0000,2.44073998e-002
6350.0000,50.0000,-10.0000,2.99084932e-002
6450.0000,50.0000,-10.0000,3.63976508e-002
6550.0000,50.0000,-10.0000,4.68492731e-002
6650.0000,50.0000,-10.0000,4.73520756e-002
6750.0000,50.0000,-10.0000,1.33458555e-001
6850.0000,50.0000,-10.0000,9.19337749e-001
6950.0000,50.0000,-10.0000,2.31947136e+000
7050.0000,50.0000,-10.0000,8.73814583e+000
7150.0000,50.0000,-10.0000,2.54417133e+001
7250.0000,50.0000,-10.0000,3.47531166e+001
7350.0000,50.0000,-10.0000,3.49881248e+001
50.0000,50.0000,-15.0000,0.00000000e+000
150.0000,50.0000,-15.0000,0.00000000e+000
250.0000,50.0000,-15.0000,0.00000000e+000
350.0000,50.0000,-15.0000,0.00000000e+000
450.0000,50.0000,-15.0000,0.00000000e+000
550.0000,50.0000,-15.0000,0.00000000e+000
650.0000,50.0000,-15.0000,0.00000000e+000
750.0000,50.0000,-15.0000,0.00000000e+000
850.0000,50.0000,-15.0000,0.00000000e+000
950.0000,50.0000,-15.0000,0.00000000e+000
1050.0000,50.0000,-15.0000,0.00000000e+000
1150.0000,50.0000,-15.0000,0.00000000e+000
1250.0000,50.0000,-15.0000,0.00000000e+000
1350.0000,50.0000,-15.0000,0.00000000e+000
1450.0000,50.0000,-15.0000,0.00000000e+000
1550.0000,50.0000,-15.0000,0.00000000e+000
1650.0000,50.0000,-15.0000,0.00000000e+000
1750.0000,50.0000,-15.0000,0.00000000e+000
1850.0000,50.0000,-15.0000,0.00000000e+000
1950.0000,50.0000,-15.0000,0.00000000e+000
2050.0000,50.0000,-15.0000,0.00000000e+000
2150.0000,50.0000,-15.0000,0.00000000e+000
2250.0000,50.0000,-15.0000,0.00000000e+000
2350.0000,50.0000,-15.0000,0.00000000e+000
2450.0000,50.0000,-15.0000,0.00000000e+000
2550.0000,50.0000,-15.0000,0.00000000e+000
2650.0000,50.0000,-15.0000,0.00000000e+000
2750.0000,50.0000,-15.0000,0.00000000e+000
2850.0000,50.0000,-15.0000,0.00000000e+000
2950.0000,50.0000,-15.0000,0.00000000e+000
3050.0000,50.0000,-15.0000,0.00000000e+000
3150.0000,50.0000,-15.0000,0.00000000e+000
3250.0000,50.0000,-15.0000,0.00000000e+000
3350.0000,50.0000,-15.0000,0.00000000e+000
3450.0000,50.0000,-15.0000,0.00000000e+000
3550.0000,50.0000,-15.0000,0.00000000e+000
3650.0000,50.0000,-15.0000,0.00000000e+000
3750.0000,50.0000,-15.0000,1.38057074e-038
3850.0000,50.0000,-15.0000,1.31134158e-035
3950.0000,50.0000,-15.0000,1.17589409e-032
4050.0000,50.0000,-15.0000,9.97193487e-030
4150.0000,50.0000,-15.0000,8.01258733e-027
4250.0000,50.0000,-15.0000,6.11780841e-024
4350.0000,50.0000,-15.0000,4.46802820e-021
4450.0000,50.0000,-15.0000,3.18351419e-018
4550.0000,50.0000,-15.0000,2.35948121e-015
4650.0000,50.0000,-15.0000,2.15686995e-012
4750.0000,50.0000,-15.0000,2.90428859e-009
4850.0000,50.0000,-15.0000,3.10477799e-006
4950.0000,50.0000,-15.0000,4.02453043e-005
5050.0000,50.0000,-15.0000,1.60323558e-004
5150.0000,50.0000,-15.0000,4.23049962e-004
5250.0000,50.0000,-15.0000,8.94826080e-004
5350.0000,50.0000,-15.0000,1.64125045e-003
5450.0000,50.0000,-15.0000,2.72186636e-003
5550.0000,50.0000,-15.0000,4.18906426e-003
5650.0000,50.0000,-15.0000,6.09030388e-003
5750.0000,50.0000,-15.0000,8.46888404e-003
5850.0000,50.0000,-15.0000,1.13657331e-002
5950.0000,50.0000,-15.0000,1.48207061e-002
6050.0000,50.0000,-15.0000,1.88861862e-002
6150.0000,50.0000,-15.0000,2.35977471e-002
6250.0000,50.0000,-15.0000,2.91306693e-002
6350.0000,50.0000,-15.0000,3.53380106e-002
6450.0000,50.0000,-15.0000,4.30536866e-002
6550.0000,50.0000,-15.0000,5.43923303e-002
6650.0000,50.0000,-15.0000,5.45983352e-002
6750.0000,50.0000,-15.0000,2.71794617e-001
6850.0000,50.0000,-15.0000,1.52183604e+000
6950.0000,50.0000,-15.0000,3.98766494e+000
7050.0000,50.0000,-15.0000,1.21752520e+001
7150.0000,50.0000,-15.0000,2.83744621e+001
7250.0000,50.0000,-15.0000,3.49704399e+001
7350.0000,50.0000,-15.0000,3.49782219e+001
7450.0000,50.0000,-15.0000,3.49668922e+001
50.0000,50.0000,-20.0000,0.00000000e+000
150.0000,50.0000,-20.0000,0.00000000e+000
250.0000,50.0000,-20.0000,0.00000000e+000
350.0000,50.0000,-20.0000,0.00000000e+000
450.0000,50.0000,-20.0000,0.00000000e+000
550.0000,50.0000,-20.0000,0.00000000e+000
650.0000,50.0000,-20.0000,0.00000000e+000
750.0000,50.0000,-20.0000,0.00000000e+000
850.0000,50.0000,-20.0000,0.00000000e+000
950.0000,50.0000,-20.0000,0.00000000e+000
1050.0000,50.0000,-20.0000,0.00000000e+000
1150.0000,50.0000,-20.0000,0.00000000e+000
1250.0000,50.0000,-20.0000,0.00000000e+000
1350.0000,50.0000,-20.0000,0.00000000e+000
1450.0000,50.0000,-20.0000,0.00000000e+000
1550.0000,50.0000,-20.0000,0.00000000e+000
1650.0000,50.0000,-20.0000,0.00000000e+000
1750.0000,50.0000,-20.0000,0.00000000e+000
1850.0000,50.0000,-20.0000,0.00000000e+000
1950.0000,50.0000,-20.0000,0.00000000e+000
2050.0000,50.0000,-20.0000,0.00000000e+000
2150.0000,50.0000,-20.0000,0.00000000e+000
2250.0000,50.0000,-20.0000,0.00000000e+000
2350.0000,50.0000,-20.0000,0.00000000e+000
2450.0000,50.0000,-20.0000,0.00000000e+000
2550.0000,50.0000,-20.0000,0.00000000e+000
2650.0000,50.0000,-20.0000,0.00000000e+000
2750.0000,50.0000,-20.0000,0.00000000e+000
2850.0000,50.0000,-20.0000,0.00000000e+000
2950.0000,50.0000,-20.0000,0.00000000e+000
3050.0000,50.0000,-20.0000,0.00000000e+000
3150.0000,50.0000,-20.0000,0.00000000e+000
3250.0000,50.0000,-20.0000,0.00000000e+000
3350.0000,50.0000,-20.0000,0.00000000e+000
3450.0000,50.0000,-20.0000,0.00000000e+000
3550.0000,50.0000,-20.0000,0.00000000e+000
3650.0000,50.0000,-20.0000,0.00000000e+000
3750.0000,50.0000,-20.0000,7.59054455e-038
3850.0000,50.0000,-20.0000,7.21598789e-035
3950.0000,50.0000,-20.0000,6.47821696e-032
4050.0000,50.0000,-20.0000,5.49637114e-029
4150.0000,50.0000,-20.0000,4.40668210e-026
4250.0000,50.0000,-20.0000,3.33427713e-023
4350.0000,50.0000,-20.0000,2.37588002e-020
4450.0000,50.0000,-20.0000,1.59458932e-017
4550.0000,50.0000,-20.0000,1.02520904e-014
4650.0000,50.0000,-20.0000,6.92669836e-012
4750.0000,50.0000,-20.0000,7.10114989e-009
4850.0000,50.0000,-20.0000,8.35683659e-006
4950.0000,50.0000,-20.0000,7.59859249e-005
5050.0000,50.0000,-20.0000,2.70297140e-004
5150.0000,50.0000,-20.0000,6.65523461e-004
5250.0000,50.0000,-20.0000,1.33916468e-003
5350.0000,50.0000,-20.0000,2.36172462e-003
5450.0000,50.0000,-20.0000,3.79245752e-003
5550.0000,50.0000,-20.0000,5.68102300e-003
5650.0000,50.0000,-20.0000,8.07216950e-003
5750.0000,50.0000,-20.0000,1.10064019e-002
5850.0000,50.0000,-20.0000,1.45224277e-002
5950.0000,50.0000,-20.0000,1.86596084e-002
6050.0000,50.0000,-20.0000,2.34738719e-002
6150.0000,50.0000,-20.0000,2.90015955e-002
6250.0000,50.0000,-20.0000,3.54657322e-002
6350.0000,50.0000,-20.0000,4.25783210e-002
6450.0000,50.0000,-20.0000,5.20108379e-002
6550.0000,50.0000,-20.0000,6.38369098e-002
6650.0000,50.0000,-20.0000,6.40950575e-002
6750.0000,50.0000,-20.0000,5.51091433e-001
6850.0000,50.0000,-20.0000,2.55635023e+000
6950.0000,50.0000,-20.0000,6.54930305e+000
7050.0000,50.0000,-20.0000,1.68439045e+001
7150.0000,50.0000,-20.0000,3.26717949e+001
7250.0000,50.0000,-20.0000,3.49677238e+001
7350.0000,50.0000,-20.0000,3.49196320e+001
7450.0000,50.0000,-20.0000,3.49339523e+001
7550.0000,50.0000,-20.0000,3.49500313e+001
50.0000,50.0000,-25.0000,0.00000000e+000
150.0000,50.0000,-25.0000,0.00000000e+000
250.0000,50.0000,-25.0000,0.00000000e+000
350.0000,50.0000,-25.0000,0.00000000e+000
450.0000,50.0000,-25.0000,0.00000000e+000
550.0000,50.0000,-25.0000,0.00000000e+000
650.0000,50.0000,-25.0000,0.00000000e+000
750.0000,50.0000,-25.0000,0.00000000e+000
850.0000,50.0000,-25.0000,0.00000000e+000
950.0000,50.0000,-25.0000,0.00000000e+000
1050.0000,50.0000,-25.0000,0.00000000e+000
1150.0000,50.0000,-25.0000,0.00000000e+000
1250.0000,50.0000,-25.0000,0.00000000e+000
1350.0000,50.0000,-25.0000,0.00000000e+000
1450.0000,50.0000,-25.0000,0.00000000e+000
1550.0000,50.0000,-25.0000,0.00000000e+000
1650.0000,50.0000,-25.0000,0.00000000e+000
1750.0000,50.0000,-25.0000,0.00000000e+000
1850.0000,50.0000,-25.0000,0.00000000e+000
1950.0000,50.0000,-25.0000,0.00000000e+000
2050.0000,50.0000,-25.0000,0.00000000e+000
2150.0000,50.0000,-25.0000,0.00000000e+000
2250.0000,50.0000,-25.0000,0.00000000e+000
2350.0000,50.0000,-25.0000,0.00000000e+000
2450.0000,50.0000,-25.0000,0.00000000e+000
2550.0000,50.0000,-25.0000,0.00000000e+000
2650.0000,50.0000,-25.0000,0.00000000e+000
2750.0000,50.0000,-25.0000,0.00000000e+000
2850.0000,50.0000,-25.0000,0.00000000e+000
2950.0000,50.0000,-25.0000,0.00000000e+000
3050.0000,50.0000,-25.0000,0.00000000e+000
3150.0000,50.0000,-25.0000,0.00000000e+000
3250.0000,50.0000,-25.0000,0.00000000e+000
3350.0000,50.0000,-25.0000,0.00000000e+000
3450.0000,50.0000,-25.0000,0.00000000e+000
3550.0000,50.0000,-25.0000,0.00000000e+000
3650.0000,50.0000,-25.0000,0.00000000e+000
3750.0000,50.0000,-25.0000,4.22614218e-037
3850.0000,50.0000,-25.0000,4.02395456e-034
3950.0000,50.0000,-25.0000,3.63472234e-031
4050.0000,50.0000,-25.0000,3.12160648e-028
4150.0000,50.0000,-25.0000,2.55479482e-025
4250.0000,50.0000,-25.0000,1.99682240e-022
4350.0000,50.0000,-25.0000,1.49308298e-019
4450.0000,50.0000,-25.0000,1.07196413e-016
4550.0000,50.0000,-25.0000,7.50236055e-014
4650.0000,50.0000,-25.0000,4.54107481e-011
4750.0000,50.0000,-25.0000,2.29114736e-008
4850.0000,50.0000,-25.0000,2.00268059e-005
4950.0000,50.0000,-25.0000,1.39850978e-004
5050.0000,50.0000,-25.0000,4.50389693e-004
5150.0000,50.0000,-25.0000,1.04154926e-003
5250.0000,50.0000,-25.0000,2.00225669e-003
5350.0000,50.0000,-25.0000,3.40545271e-003
5450.0000,50.0000,-25.0000,5.30693075e-003
5550.0000,50.0000,-25.0000,7.75119197e-003
5650.0000,50.0000,-25.0000,1.07789179e-002
5750.0000,50.0000,-25.0000,1.44265182e-002
5850.0000,50.0000,-25.0000,1.87297501e-002
5950.0000,50.0000,-25.0000,2.37278733e-002
6050.0000,50.0000,-25.0000,2.94817910e-002
6150.0000,50.0000,-25.0000,3.60310562e-002
6250.0000,50.0000,-25.0000,4.36570197e-002
6350.0000,50.0000,-25.0000,5.18998653e-002
6450.0000,50.0000,-25.0000,6.36245310e-002
6550.0000,50.0000,-25.0000,7.51571208e-002
6650.0000,50.0000,-25.0000,7.55188465e-002
6750.0000,50.0000,-25.0000,1.09178698e+000
6850.0000,50.0000,-25.0000,4.25647497e+000
6950.0000,50.0000,-25.0000,1.04213095e+001
7050.0000,50.0000,-25.0000,2.35022430e+001
7150.0000,50.0000,-25.0000,3.40862274e+001
7250.0000,50.0000,-25.0000,3.48892326e+001
7350.0000,50.0000,-25.0000,3.48356972e+001
7450.0000,50.0000,-25.0000,3.48602905e+001
7550.0000,50.0000,-25.0000,3.49008751e+001
7650.0000,50.0000,-25.0000,3.49303894e+001
